Metro Area,Total Asian Any Combination,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,"Chinese, except Taiwanese",Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Pakistani,Sri Lankan,Taiwanese,Thai,Vietnamese,"Other Asian, specified","Other Asian, not specified"
"Anniston-Oxford-Jacksonville, AL Metro Area",1514,117,0,0,0,0,308,264,0,0,66,243,0,0,0,0,0,0,0,0,258,236,0,22
"Appleton, WI Metro Area",8346,1125,45,0,0,25,676,388,4872,43,200,336,111,0,0,18,2,42,0,48,44,241,0,130
"Asheville, NC Metro Area",6380,997,0,0,48,68,1983,1257,69,33,216,727,107,0,0,134,0,28,9,0,249,341,0,114
"Athens-Clarke County, GA Metro Area",8670,2346,31,0,228,110,2303,520,12,62,404,1260,76,20,0,8,0,218,12,54,236,549,0,221
"Atlanta-Sandy Springs-Roswell, GA Metro Area",369891,119078,3138,2125,5054,5493,52434,21694,2983,2816,12076,50400,5930,390,168,3401,46,12021,942,2767,4978,48454,48,13455
"Atlantic City-Hammonton, NJ Metro Area",26413,7150,2599,0,0,37,4487,3571,0,0,447,1219,58,9,15,0,0,1468,35,84,120,4167,0,947
"Auburn-Opelika, AL Metro Area",6782,912,98,0,0,186,1163,314,0,6,342,2807,85,66,0,0,0,120,0,80,3,541,0,59
"Augusta-Richmond County, GA-SC Metro Area",15147,2740,4,0,7,46,1987,3258,20,10,994,3336,41,20,0,0,0,615,27,21,133,1343,0,545
"Austin-Round Rock, TX Metro Area",134807,41820,974,0,390,622,25539,12377,78,724,5707,11761,948,345,10,1187,0,4493,584,1520,2451,19284,10,3983
"Bakersfield, CA Metro Area",51706,11963,0,0,482,1985,4973,20335,110,280,2911,2203,1015,10,0,0,0,285,97,125,584,2742,0,1606
"Baltimore-Columbia-Towson, MD Metro Area",182577,43075,1563,348,2976,1020,31845,27692,86,767,6358,30606,493,249,124,3578,54,11275,1161,1209,3038,9312,26,5722
"Bangor, ME Metro Area",2337,299,0,0,0,70,797,271,0,0,173,258,0,0,16,33,0,17,15,0,193,85,0,110
