District,State,Total Population,Fijian,Guamanian or Chamorro,Marshallese,Native Hawaiian,Other Melanesian,Other Micronesian,Other Pacific Islander not specified (check box only),Other Polynesian,Samoan,Tongan,Two or More NHPI
District 6,Pennsylvania,726341,,,,,,,,,,,
District 6,South Carolina,667841,,,,,,,,,,,
District 6,Tennessee,746798,,,,,,,,,,,
District 6,Texas,759949,,,,,,539,,,,,
District 6,Virginia,746117,,,,,,,,,,,
District 6,Washington,689399,,1783,,,,,,,,,
District 6,Wisconsin,712513,,,,,,,,,,,
District 7,Alabama,671659,,,,,,,,,,,
District 7,Arizona,782330,,,,,,,,,,,
District 7,California,739746,2739,,,,,,,,,,
District 7,Colorado,775383,,,,,,,,,,,
District 7,Florida,748154,,,,,,,,,,,
District 7,Georgia,778970,,,,,,,,,,,
District 7,Illinois,725329,,,,,,,,,,,
District 7,Indiana,753500,,,,,,,,,,,
District 7,Maryland,726536,,,,,,,,,,,
District 7,Massachusetts,781304,,,,,,,,,,,
District 7,Michigan,703759,,,,,,,,,,,
District 7,Minnesota,663307,,,,,,157,,,,,
District 7,Missouri,768753,,,,,,,,,,,
District 7,New Jersey,745147,,,,,,,,,,,
District 7,New York,750580,,,,,,,,,,,
District 7,North Carolina,777138,,,,,,,,,,,
District 7,Ohio,724257,,,,,,,,,,,
District 7,Pennsylvania,718119,,,,,,,,,,,
District 7,South Carolina,698776,,,,,,,,,,,
District 7,Tennessee,752931,,,,,,,,,,,
District 7,Texas,770276,,,,,,,,,,,
District 7,Virginia,769141,,,,,,,,,,,
District 7,Washington,746893,,,,,,,,,,,
District 7,Wisconsin,707988,,,,,,128,,,,,
District 8,Arizona,761786,,,,,,,,,,,
District 8,California,719950,,,,,,,,,,,
District 8,Florida,730040,,,,,,,,,,,
District 8,Georgia,703499,,,,,,,,,,,
District 8,Illinois,716738,,,,,,,,,,,
District 8,Indiana,720806,,,,,,,,,,,
District 8,Maryland,759725,,,,,,,,,,,
District 8,Massachusetts,761328,,,,,,,,,,,
District 8,Michigan,728626,,,,,,,,,,,
District 8,Minnesota,663113,,,,,,,,,,,
District 8,Missouri,743300,,,,,,,,,,,
District 8,New Jersey,774492,,,,,,,,,,,
District 8,New York,772709,,,,,,,,,,,
District 8,North Carolina,772777,,,,,,,,,,,
District 8,Ohio,725385,,,,,,,,,,,
District 8,Pennsylvania,709322,,,,,,,,,,,
District 8,Tennessee,709012,,,,,,,,,,,
District 8,Texas,807525,,,,,,,,,,,
District 8,Virginia,787232,,,,,,,,,,,
District 8,Washington,725674,,,,,,,,,,,
District 8,Wisconsin,725150,,,,,,,,,,,
District 9,Arizona,761619,,,,,,,,,,,
District 9,California,750185,,,,,,,,,,,
District 9,Florida,810034,,,,,,,,,,,
District 9,Georgia,725451,,,,,,,,,,,
District 9,Illinois,723142,,,,,,,,,,,
District 9,Indiana,743185,,,,,,,,,,,
District 9,Massachusetts,735926,,,,,,,,,,,
District 9,Michigan,717306,,,,,,,,,,,
District 9,New Jersey,758209,,,,,,,,,,,
District 9,New York,746279,,,,,,,,,,,
District 9,North Carolina,772073,,,,,,,,,,,
District 9,Ohio,710563,,,,,,,,,,,
District 9,Pennsylvania,694033,,,,,,,,,,,
District 9,Tennessee,705996,,,,,,,,,,,
District 9,Texas,780017,,,,,,,,,,,
District 9,Virginia,714326,,,,,,,,,,,
District 9,Washington,726425,,,,,,,,,4290,,
Resident Commissioner District (at Large),Puerto Rico,3468963,,,,,,,,,,,
