County,State,Group Population,No Health INS,Share No Health INS
Stanislaus County,California,29417,,
Stanley County,South Dakota,,,
Stanly County,North Carolina,1160,,
Stanton County,Kansas,,,
Stanton County,Nebraska,16,,
Stark County,Illinois,,,
Stark County,North Dakota,370,,
Stark County,Ohio,3050,,
Starke County,Indiana,,,
Starr County,Texas,,,
Staunton city,Virginia,,,
Ste. Genevieve County,Missouri,,,
Stearns County,Minnesota,3337,,
Steele County,Minnesota,,,
Steele County,North Dakota,,,
Stephens County,Georgia,,,
Stephens County,Oklahoma,297,,
Stephens County,Texas,,,
Stephenson County,Illinois,354,,
Sterling County,Texas,,,
Steuben County,Indiana,,,
Steuben County,New York,1462,,
Stevens County,Kansas,,,
Stevens County,Minnesota,,,
Stevens County,Washington,302,,
Stewart County,Georgia,,,
Stewart County,Tennessee,,,
Stillwater County,Montana,,,
Stoddard County,Missouri,,,
Stokes County,North Carolina,171,,
Stone County,Arkansas,,,
Stone County,Mississippi,,,
Stone County,Missouri,,,
Stonewall County,Texas,,,
Storey County,Nevada,,,
Story County,Iowa,7026,,
Strafford County,New Hampshire,4154,,
Stutsman County,North Dakota,,,
Sublette County,Wyoming,,,
Suffolk city,Virginia,1437,,
Suffolk County,Massachusetts,67500,,
Suffolk County,New York,57923,,
Sullivan County,Indiana,,,
Sullivan County,Missouri,27,,
Sullivan County,New Hampshire,,,
Sullivan County,New York,1211,,
Sullivan County,Pennsylvania,,,
Sullivan County,Tennessee,875,,
Sully County,South Dakota,,,
Summers County,West Virginia,,,
Summit County,Colorado,,,
Summit County,Ohio,16183,,
Summit County,Utah,653,,
Sumner County,Kansas,,,
Sumner County,Tennessee,2257,,
Sumter County,Alabama,,,
Sumter County,Florida,808,,
Sumter County,Georgia,,,
Sumter County,South Carolina,1215,,
Sunflower County,Mississippi,,,
Surry County,North Carolina,444,,
Surry County,Virginia,,,
Susquehanna County,Pennsylvania,160,,
Sussex County,Delaware,2581,,
Sussex County,New Jersey,2852,,
Sussex County,Virginia,,,
Sutter County,California,14539,,
Sutton County,Texas,,,
Suwannee County,Florida,,,
Swain County,North Carolina,,,
Sweet Grass County,Montana,,,
Sweetwater County,Wyoming,,,
Swift County,Minnesota,,,
Swisher County,Texas,,,
Switzerland County,Indiana,,,
Talbot County,Georgia,,,
Talbot County,Maryland,534,,
Taliaferro County,Georgia,,,
Talladega County,Alabama,446,,
Tallahatchie County,Mississippi,,,
Tallapoosa County,Alabama,,,
Tama County,Iowa,,,
Taney County,Missouri,,,
Tangipahoa Parish,Louisiana,955,,
Taos County,New Mexico,,,
Tarrant County,Texas,101414,,
Tate County,Mississippi,,,
Tattnall County,Georgia,,,
Taylor County,Florida,,,
Taylor County,Georgia,,,
Taylor County,Iowa,,,
Taylor County,Kentucky,,,
Taylor County,Texas,2583,,
Taylor County,West Virginia,,,
Taylor County,Wisconsin,,,
Tazewell County,Illinois,1291,,
Tazewell County,Virginia,,,
Tehama County,California,899,,
Telfair County,Georgia,,,
Teller County,Colorado,,,
Tensas Parish,Louisiana,,,
Terrebonne Parish,Louisiana,996,,
Terrell County,Georgia,,,
Terrell County,Texas,,,
Terry County,Texas,,,
Teton County,Idaho,,,
Teton County,Montana,,,
Teton County,Wyoming,,,
Texas County,Missouri,,,
Texas County,Oklahoma,637,,
Thayer County,Nebraska,,,
Thomas County,Georgia,,,
Thomas County,Kansas,,,
Thomas County,Nebraska,,,
Throckmorton County,Texas,,,
Thurston County,Nebraska,50,,
Thurston County,Washington,15146,,
Tift County,Georgia,,,
Tillamook County,Oregon,,,
Tillman County,Oklahoma,,,
Tioga County,New York,384,,
Tioga County,Pennsylvania,224,,
Tippah County,Mississippi,,,
Tippecanoe County,Indiana,14891,,
Tipton County,Indiana,,,
Tipton County,Tennessee,,,
Tishomingo County,Mississippi,,,
Titus County,Texas,,,
Toa Alta Municipio,Puerto Rico,,,
Toa Baja Municipio,Puerto Rico,,,
Todd County,Kentucky,,,
Todd County,Minnesota,,,
Todd County,South Dakota,,,
Tolland County,Connecticut,6705,,
Tom Green County,Texas,1277,,
Tompkins County,New York,10792,,
Tooele County,Utah,492,,
Toole County,Montana,,,
Toombs County,Georgia,249,,
Torrance County,New Mexico,,,
Towner County,North Dakota,,,
Towns County,Georgia,,,
Traill County,North Dakota,,,
Transylvania County,North Carolina,232,,
Traverse County,Minnesota,,,
Travis County,Texas,75295,,
Treasure County,Montana,,,
Trego County,Kansas,,,
Trempealeau County,Wisconsin,,,
Treutlen County,Georgia,,,
Trigg County,Kentucky,,,
Trimble County,Kentucky,,,
Trinity County,California,,,
Trinity County,Texas,,,
Tripp County,South Dakota,,,
Troup County,Georgia,1383,,
Trousdale County,Tennessee,,,
Trujillo Alto Municipio,Puerto Rico,,,
Trumbull County,Ohio,1001,,
Tucker County,West Virginia,,,
Tulare County,California,15987,,
Tulsa County,Oklahoma,19394,,
Tunica County,Mississippi,,,
Tuolumne County,California,,,
Turner County,Georgia,,,
Turner County,South Dakota,,,
Tuscaloosa County,Alabama,3135,,
Tuscarawas County,Ohio,,,
Tuscola County,Michigan,,,
Twiggs County,Georgia,,,
Twin Falls County,Idaho,1491,,
Tyler County,Texas,,,
Tyler County,West Virginia,,,
Tyrrell County,North Carolina,,,
Uinta County,Wyoming,,,
Uintah County,Utah,,,
Ulster County,New York,3807,,
Umatilla County,Oregon,597,,
Unicoi County,Tennessee,,,
Union County,Arkansas,,,
Union County,Florida,,,
Union County,Georgia,155,,
Union County,Illinois,,,
Union County,Indiana,,,
Union County,Iowa,,,
Union County,Kentucky,,,
Union County,Mississippi,261,,
Union County,New Jersey,27725,,
Union County,New Mexico,,,
Union County,North Carolina,5392,,
Union County,Ohio,1749,,
Union County,Oregon,,,
Union County,Pennsylvania,731,,
Union County,South Carolina,,,
Union County,South Dakota,154,,
Union County,Tennessee,,,
Union Parish,Louisiana,,,
Upshur County,Texas,,,
Upshur County,West Virginia,,,
Upson County,Georgia,,,
Upton County,Texas,,,
Utah County,Utah,8547,,
Utuado Municipio,Puerto Rico,,,
Uvalde County,Texas,,,
Val Verde County,Texas,267,,
Valdez-Cordova Census Area,Alaska,,,
Valencia County,New Mexico,,,
Valley County,Idaho,,,
Valley County,Montana,,,
Valley County,Nebraska,,,
Van Buren County,Arkansas,,,
Van Buren County,Iowa,,,
Van Buren County,Michigan,476,,
Van Buren County,Tennessee,,,
Van Wert County,Ohio,,,
Van Zandt County,Texas,248,,
Vance County,North Carolina,226,,
Vanderburgh County,Indiana,2246,,
Vega Alta Municipio,Puerto Rico,,,
Vega Baja Municipio,Puerto Rico,,,
Venango County,Pennsylvania,196,,
Ventura County,California,60636,,
Vermilion County,Illinois,691,,
Vermilion Parish,Louisiana,1312,,
Vermillion County,Indiana,,,
Vernon County,Missouri,127,,
Vernon County,Wisconsin,,,
Vernon Parish,Louisiana,875,,
Victoria County,Texas,992,,
Vieques Municipio,Puerto Rico,,,
Vigo County,Indiana,2013,,
Vilas County,Wisconsin,124,,
Villalba Municipio,Puerto Rico,,,
Vinton County,Ohio,,,
Virginia Beach city,Virginia,28943,,
Volusia County,Florida,9306,,
Wabash County,Illinois,,,
Wabash County,Indiana,,,
Wabasha County,Minnesota,,,
Wabaunsee County,Kansas,,,
Wadena County,Minnesota,,,
Wagoner County,Oklahoma,1060,,
Wahkiakum County,Washington,,,
Wake County,North Carolina,66097,,
Wakulla County,Florida,,,
Waldo County,Maine,,,
Walker County,Alabama,306,,
Walker County,Georgia,421,,
Walker County,Texas,836,,
Walla Walla County,Washington,897,,
Wallace County,Kansas,,,
Waller County,Texas,409,,
Wallowa County,Oregon,,,
Walsh County,North Dakota,,,
Walthall County,Mississippi,,,
Walton County,Florida,801,,
Walton County,Georgia,1090,,
Walworth County,South Dakota,,,
Walworth County,Wisconsin,1003,,
Wapello County,Iowa,322,,
Ward County,North Dakota,990,,
Ward County,Texas,,,
Ware County,Georgia,400,,
Warren County,Georgia,,,
Warren County,Illinois,404,,
Warren County,Indiana,,,
Warren County,Iowa,,,
Warren County,Kentucky,4132,,
Warren County,Mississippi,,,
Warren County,Missouri,,,
Warren County,New Jersey,3077,,
Warren County,New York,646,,
Warren County,North Carolina,,,
Warren County,Ohio,11619,,
Warren County,Pennsylvania,209,,
Warren County,Tennessee,231,,
Warren County,Virginia,464,,
Warrick County,Indiana,1519,,
Wasatch County,Utah,,,
Wasco County,Oregon,,,
Waseca County,Minnesota,,,
Washakie County,Wyoming,,,
Washburn County,Wisconsin,,,
Washington County,Alabama,,,
Washington County,Arkansas,5462,,
Washington County,Colorado,,,
Washington County,Florida,,,
Washington County,Georgia,126,,
Washington County,Idaho,,,
Washington County,Illinois,,,
Washington County,Indiana,,,
Washington County,Iowa,,,
Washington County,Kansas,,,
Washington County,Kentucky,,,
Washington County,Maine,145,,
Washington County,Maryland,2586,,
Washington County,Minnesota,13354,,
Washington County,Mississippi,310,,
Washington County,Missouri,,,
Washington County,Nebraska,,,
Washington County,New York,329,,
Washington County,North Carolina,,,
Washington County,Ohio,367,,
Washington County,Oklahoma,1001,,
Washington County,Oregon,56072,,
Washington County,Pennsylvania,2010,,
Washington County,Rhode Island,2465,,
Washington County,Tennessee,2005,,
Washington County,Texas,623,,
Washington County,Utah,1056,,
Washington County,Vermont,389,,
Washington County,Virginia,314,,
Washington County,Wisconsin,1571,,
Washington Parish,Louisiana,,,
Washita County,Oklahoma,,,
Washoe County,Nevada,23782,,
Washtenaw County,Michigan,31471,,
Watauga County,North Carolina,407,,
Watonwan County,Minnesota,106,,
Waukesha County,Wisconsin,12853,,
Waupaca County,Wisconsin,,,
Waushara County,Wisconsin,,,
Wayne County,Georgia,,,
Wayne County,Illinois,,,
Wayne County,Indiana,664,,
Wayne County,Iowa,,,
Wayne County,Kentucky,,,
Wayne County,Michigan,54977,,
Wayne County,Mississippi,,,
Wayne County,Missouri,,,
Wayne County,Nebraska,,,
Wayne County,New York,620,,
Wayne County,North Carolina,1386,,
Wayne County,Ohio,1134,,
Wayne County,Pennsylvania,258,,
Wayne County,Tennessee,,,
Wayne County,Utah,,,
Wayne County,West Virginia,,,
Waynesboro city,Virginia,,,
Weakley County,Tennessee,,,
Webb County,Texas,1407,,
Weber County,Utah,2839,,
Webster County,Georgia,,,
Webster County,Iowa,473,,
Webster County,Kentucky,,,
Webster County,Mississippi,,,
Webster County,Missouri,,,
Webster County,Nebraska,,,
Webster County,West Virginia,,,
Webster Parish,Louisiana,,,
Weld County,Colorado,3869,,
Wells County,Indiana,,,
Wells County,North Dakota,,,
West Baton Rouge Parish,Louisiana,,,
West Carroll Parish,Louisiana,,,
West Feliciana Parish,Louisiana,,,
Westchester County,New York,57449,,
Westmoreland County,Pennsylvania,3093,,
Westmoreland County,Virginia,,,
Weston County,Wyoming,,,
Wetzel County,West Virginia,,,
Wexford County,Michigan,232,,
Wharton County,Texas,,,
Whatcom County,Washington,8625,,
Wheatland County,Montana,,,
Wheeler County,Georgia,,,
Wheeler County,Nebraska,,,
Wheeler County,Oregon,,,
Wheeler County,Texas,,,
White County,Arkansas,531,,
White County,Georgia,151,,
White County,Illinois,,,
White County,Indiana,,,
White County,Tennessee,,,
White Pine County,Nevada,,,
Whiteside County,Illinois,,,
Whitfield County,Georgia,1439,,
Whitley County,Indiana,,,
Whitley County,Kentucky,,,
Whitman County,Washington,3773,,
Wibaux County,Montana,,,
Wichita County,Kansas,,,
Wichita County,Texas,2342,,
Wicomico County,Maryland,3336,,
Wilbarger County,Texas,,,
Wilcox County,Alabama,,,
Wilcox County,Georgia,,,
Wilkes County,Georgia,79,,
Wilkes County,North Carolina,354,,
Wilkin County,Minnesota,,,
Wilkinson County,Georgia,,,
Wilkinson County,Mississippi,,,
Will County,Illinois,35960,,
Willacy County,Texas,,,
Williams County,North Dakota,,,
Williams County,Ohio,226,,
Williamsburg city,Virginia,858,,
Williamsburg County,South Carolina,152,,
Williamson County,Illinois,684,,
Williamson County,Tennessee,8507,,
Williamson County,Texas,30803,,
Wilson County,Kansas,62,,
Wilson County,North Carolina,,,
Wilson County,Tennessee,1974,,
Wilson County,Texas,,,
Winchester city,Virginia,,,
Windham County,Connecticut,1560,,
Windham County,Vermont,441,,
Windsor County,Vermont,426,,
Winkler County,Texas,,,
Winn Parish,Louisiana,,,
Winnebago County,Illinois,7305,,
Winnebago County,Iowa,129,,
Winnebago County,Wisconsin,4362,,
Winneshiek County,Iowa,,,
Winona County,Minnesota,1371,,
Winston County,Alabama,,,
Winston County,Mississippi,,,
Wirt County,West Virginia,,,
Wise County,Texas,,,
Wise County,Virginia,166,,
Wolfe County,Kentucky,,,
Wood County,Ohio,2156,,
Wood County,Texas,,,
Wood County,West Virginia,,,
Wood County,Wisconsin,1482,,
Woodbury County,Iowa,2891,,
Woodford County,Illinois,305,,
Woodford County,Kentucky,,,
Woodruff County,Arkansas,,,
Woods County,Oklahoma,,,
Woodson County,Kansas,,,
Woodward County,Oklahoma,,,
Worcester County,Maryland,689,,
Worcester County,Massachusetts,38467,,
Worth County,Georgia,,,
Worth County,Iowa,,,
Worth County,Missouri,,,
Wrangell City and Borough,Alaska,,,
Wright County,Iowa,,,
Wright County,Minnesota,1520,,
Wright County,Missouri,,,
Wyandot County,Ohio,,,
Wyandotte County,Kansas,6325,,
Wyoming County,New York,,,
Wyoming County,Pennsylvania,,,
Wyoming County,West Virginia,,,
Wythe County,Virginia,215,,
Yabucoa Municipio,Puerto Rico,,,
Yadkin County,North Carolina,,,
Yakima County,Washington,2472,,
Yakutat City and Borough,Alaska,,,
Yalobusha County,Mississippi,,,
Yamhill County,Oregon,1416,,
Yancey County,North Carolina,,,
Yankton County,South Dakota,,,
Yates County,New York,160,,
Yauco Municipio,Puerto Rico,,,
Yavapai County,Arizona,2099,,
Yazoo County,Mississippi,,,
Yell County,Arkansas,333,,
Yellow Medicine County,Minnesota,60,,
Yellowstone County,Montana,960,,
Yoakum County,Texas,,,
Yolo County,California,29105,,
York County,Maine,2399,,
York County,Nebraska,,,
York County,Pennsylvania,6338,,
York County,South Carolina,4759,,
York County,Virginia,3542,,
Young County,Texas,,,
Yuba County,California,4687,,
Yukon-Koyukuk Census Area,Alaska,,,
Yuma County,Arizona,2535,,
Yuma County,Colorado,,,
Zapata County,Texas,,,
Zavala County,Texas,,,
Ziebach County,South Dakota,,,
