County,State,Total Population,Total Asian Alone,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,Chinese except Taiwanese,Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Other Asian not specified,Other Asian specified,Pakistani,Sri Lankan,Taiwanese,Thai,Two or more Asian,Vietnamese
Amador County,California,37306,582,,,,,,,,,,,,,,,,,,,,,,,,
Butte County,California,225207,10174,,,,,,,,46.77,,,,,,,,,,,,,,,,
Calaveras County,California,45057,527,,,,,,,,,,,,,,,,,,,,,,,,
Colusa County,California,21479,328,,,,,,,,,,,,,,,,,,,,,,,,
Contra Costa County,California,1123678,180072,17.59,,,,,26.56,28.5,,,4.15,5.37,2.23,,,,,,,1.92,,,0.79,3.44,5.24
Del Norte County,California,27442,776,,,,,,,,,,,,,,,,,,,,,,,,
El Dorado County,California,185015,7864,29.27,,,,,,25.56,,,,,,,,,,,,,,,,,
Fresno County,California,971616,97966,21.36,,,,5.26,6.53,10.21,33.23,,4.88,,7.94,,,,,,,,,,,1.99,4.64
Glenn County,California,27935,729,,,,,,,,,,,,,,,,,,,,,,,,
Humboldt County,California,135490,3926,,,,,,,,,,,,,,,,,,,,,,,,
Imperial County,California,179957,2584,,,,,,,,,,,,,,,,,,,,,,,,
Inyo County,California,18195,272,,,,,,,,,,,,,,,,,,,,,,,,
Kern County,California,878744,41263,27.3,,,,,8.89,39.13,,,,4.49,,,,,,,,,,,,,5.33
Kings County,California,150183,5694,,,,,,,56.9,,,,,,,,,,,,,,,,,
Lake County,California,64095,953,,,,,,,,,,,,,,,,,,,,,,,,
Lassen County,California,31470,463,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles County,California,10105722,1460508,6.31,0.32,,0.33,2.44,29.43,23.48,,0.75,6.82,14.74,0.25,,,,,0.43,,0.77,0.34,1.71,1.67,3.12,6.57
Madera County,California,154440,3303,,,,,,,,,,,,,,,,,,,,,,,,
Marin County,California,260814,14912,15.94,,,,,29.65,16.46,,,10.31,,,,,,,,,,,,,,9.54
Mariposa County,California,17658,,,,,,,,,,,,,,,,,,,,,,,,,
Mendocino County,California,87497,1509,,,,,,,,,,,,,,,,,,,,,,,,
Merced County,California,267390,20224,22.9,,,,,,12.51,31.39,,,,,,,,,,,,,,,,
Modoc County,California,9017,,,,,,,,,,,,,,,,,,,,,,,,,
Mono County,California,14058,,,,,,,,,,,,,,,,,,,,,,,,,
Monterey County,California,433168,24867,8.79,,,,,9.49,47.8,,,9.82,9.11,,,,,,,,,,,,,6.9
Napa County,California,141005,11150,,,,,,8.53,60.76,,,,,,,,,,,,,,,,,
Nevada County,California,98838,1123,,,,,,,,,,,,,,,,,,,,,,,,
Orange County,California,3155816,621178,8.36,,,,1.28,14.96,13.08,,0.51,5.55,15.3,,,,,,,,0.98,,1.73,0.66,2.81,33.11
Placer County,California,374985,25999,22.69,,,,,15.06,30.6,,,7.45,,,,,,,,,,,,,,
Plumas County,California,18724,,,,,,,,,,,,,,,,,,,,,,,,,
Riverside County,California,2355002,148213,10.09,,,,2.27,14.88,35.26,,,4.01,8.21,,,,,,,,2.29,,,1.74,3.23,11.26
Sacramento County,California,1495400,229441,14.11,,,,1.1,20.77,19.52,11.67,,4.41,3.2,6.18,,,,,,,,,,,3.03,11.45
San Benito County,California,58671,1649,,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino County,California,2121220,146650,9.06,,,,2.34,22.35,29.28,,3.7,3.46,8.73,,,,,,,,,,1.51,1.95,3.74,8.61
San Diego County,California,3283665,384154,9.21,,,,1.42,15.61,41.1,,,4.93,5.84,1.81,,,,,,,,,1.08,0.79,2.65,13.23
San Francisco County,California,864263,295347,5.73,,,,,62.07,13.03,,,3.58,3.4,,,,,,,,,,0.74,0.82,3.01,4.9
San Joaquin County,California,724153,109359,17.49,,,,10.2,8.08,33.09,6.92,,2.06,,3.22,,,,,,,6.43,,,,2.76,7.02
San Luis Obispo County,California,280119,10276,,,,,,23.01,30.84,,,12.47,,,,,,,,,,,,,,
San Mateo County,California,763450,210816,9.19,,,,,38.99,34.71,,,4.62,3.26,,,,,,,,,,1.01,,3.02,2.12
Santa Barbara County,California,442996,23927,7.27,,,,,23.63,32.69,,,9.09,9.83,,,,,,,,,,,,3.16,
Santa Clara County,California,1911226,671511,25.06,,,,0.63,26.03,13.65,,,4.04,4.11,,,,,,,,0.78,,1.43,0.38,2.36,20.04
Santa Cruz County,California,273263,12547,11.14,,,,,33.48,20.24,,,12.74,5.76,,,,,,,,,,,,,6.03
Shasta County,California,178919,5310,,,,,,,,,,,,,,,,,,,,,,,,
Sierra County,California,2885,,,,,,,,,,,,,,,,,,,,,,,,,
Siskiyou County,California,43530,687,,,,,,,,,,,,,,,,,,,,,,,,
