County,State,Asian Alone Total,Asian Alone LEP,LEP Share Asian Alone,NHPI Alone Total,NHPI Alone LEP,LEP Share NHPI Alone
Moody County,South Dakota,129,,,0,,
Moore County,North Carolina,1129,,,13,,
Moore County,Tennessee,94,,,0,,
Moore County,Texas,1609,,,0,,
Mora County,New Mexico,0,,,0,,
Morehouse Parish,Louisiana,113,,,0,,
Morgan County,Alabama,688,,,55,,
Morgan County,Colorado,138,,,30,,
Morgan County,Georgia,11,,,0,,
Morgan County,Illinois,243,,,1,,
Morgan County,Indiana,375,,,0,,
Morgan County,Kentucky,87,,,0,,
Morgan County,Missouri,23,,,0,,
Morgan County,Ohio,34,,,0,,
Morgan County,Tennessee,3,,,2,,
Morgan County,Utah,66,,,9,,
Morgan County,West Virginia,68,,,0,,
Morovis Municipio,Puerto Rico,29,,,0,,
Morrill County,Nebraska,3,,,0,,
Morris County,Kansas,33,,,0,,
Morris County,New Jersey,47593,11675,32.27,61,,
Morris County,Texas,13,,,0,,
Morrison County,Minnesota,155,,,0,,
Morrow County,Ohio,14,,,0,,
Morrow County,Oregon,67,,,30,,
Morton County,Kansas,4,,,0,,
Morton County,North Dakota,43,,,0,,
Motley County,Texas,0,,,0,,
Moultrie County,Illinois,30,,,0,,
Mountrail County,North Dakota,33,,,0,,
Mower County,Minnesota,908,,,0,,
Muhlenberg County,Kentucky,71,,,7,,
Multnomah County,Oregon,53354,22515,57.56,4445,,
Murray County,Georgia,143,,,0,,
Murray County,Minnesota,94,,,0,,
Murray County,Oklahoma,45,,,0,,
Muscatine County,Iowa,460,,,28,,
Muscogee County,Georgia,4507,1610,45.05,270,,
Muskegon County,Michigan,896,,,21,,
Muskingum County,Ohio,341,,,11,,
Muskogee County,Oklahoma,428,,,10,,
Musselshell County,Montana,60,,,0,,
Nacogdoches County,Texas,1093,,,0,,
Naguabo Municipio,Puerto Rico,121,,,0,,
Nance County,Nebraska,2,,,3,,
Nantucket County,Massachusetts,242,,,6,,
Napa County,California,10847,2527,36.7,283,,
Naranjito Municipio,Puerto Rico,0,,,0,,
Nash County,North Carolina,910,,,21,,
Nassau County,Florida,594,,,5,,
Nassau County,New York,116345,34818,39.44,214,,
Natchitoches Parish,Louisiana,266,,,0,,
Natrona County,Wyoming,652,,,5,,
Navajo County,Arizona,625,,,103,,
Navarro County,Texas,294,,,424,,
Nelson County,Kentucky,165,,,0,,
Nelson County,North Dakota,0,,,0,,
Nelson County,Virginia,61,,,0,,
Nemaha County,Kansas,30,,,1,,
Nemaha County,Nebraska,50,,,1,,
Neosho County,Kansas,65,,,5,,
Neshoba County,Mississippi,109,,,0,,
Ness County,Kansas,8,,,0,,
Nevada County,Arkansas,102,,,1,,
Nevada County,California,1091,,,99,,
New Castle County,Delaware,28445,7224,32.94,173,,
New Hanover County,North Carolina,2808,,,122,,
New Haven County,Connecticut,32581,8900,36.96,168,,
New Kent County,Virginia,196,,,0,,
New London County,Connecticut,10724,4078,49.01,61,,
New Madrid County,Missouri,9,,,0,,
New York County,New York,191379,67652,49.29,982,,
Newaygo County,Michigan,162,,,0,,
Newberry County,South Carolina,74,,,11,,
Newport County,Rhode Island,1582,,,49,,
Newport News city,Virginia,5460,2614,63.32,306,,
Newton County,Arkansas,42,,,0,,
Newton County,Georgia,1011,,,124,,
Newton County,Indiana,84,,,0,,
Newton County,Mississippi,97,,,0,,
Newton County,Missouri,708,,,478,,
Newton County,Texas,12,,,0,,
Nez Perce County,Idaho,358,,,21,,
Niagara County,New York,2054,,,72,,
Nicholas County,Kentucky,0,,,0,,
Nicholas County,West Virginia,78,,,0,,
Nicollet County,Minnesota,538,,,0,,
Niobrara County,Wyoming,17,,,0,,
Noble County,Indiana,295,,,1,,
Noble County,Ohio,16,,,0,,
Noble County,Oklahoma,4,,,2,,
Nobles County,Minnesota,1223,666,68.1,8,,
Nodaway County,Missouri,387,,,59,,
Nolan County,Texas,42,,,2,,
Nome Census Area,Alaska,137,,,29,,
Norfolk city,Virginia,8487,2328,36.64,145,,
Norfolk County,Massachusetts,67203,26740,48.4,214,,
Norman County,Minnesota,38,,,0,,
North Slope Borough,Alaska,526,,,162,,
Northampton County,North Carolina,64,,,0,,
Northampton County,Pennsylvania,7970,2093,36.46,53,,
Northampton County,Virginia,77,,,10,,
Northumberland County,Pennsylvania,313,,,95,,
Northumberland County,Virginia,9,,,0,,
Northwest Arctic Borough,Alaska,68,,,1,,
Norton city,Virginia,141,,,0,,
Norton County,Kansas,22,,,18,,
Nottoway County,Virginia,44,,,47,,
Nowata County,Oklahoma,27,,,5,,
Noxubee County,Mississippi,4,,,0,,
Nuckolls County,Nebraska,44,,,0,,
Nueces County,Texas,6733,1779,39.14,220,,
Nye County,Nevada,733,,,164,,
O'Brien County,Iowa,112,,,3,,
Oakland County,Michigan,79981,21486,33.8,227,,
Obion County,Tennessee,98,,,2,,
Ocean County,New Jersey,11049,2861,35.05,152,,
Oceana County,Michigan,62,,,4,,
Ochiltree County,Texas,22,,,0,,
Oconee County,Georgia,1399,,,1,,
Oconee County,South Carolina,543,,,0,,
Oconto County,Wisconsin,168,,,0,,
Ogemaw County,Michigan,127,,,0,,
Oglala Lakota County,South Dakota,0,,,0,,
Ogle County,Illinois,234,,,7,,
Oglethorpe County,Georgia,43,,,0,,
Ohio County,Indiana,20,,,0,,
Ohio County,Kentucky,72,,,0,,
Ohio County,West Virginia,314,,,0,,
Okaloosa County,Florida,5605,,,325,,
Okanogan County,Washington,352,,,69,,
Okeechobee County,Florida,332,,,73,,
Okfuskee County,Oklahoma,21,,,0,,
Oklahoma County,Oklahoma,24152,9382,49.92,678,,
Okmulgee County,Oklahoma,129,,,16,,
Oktibbeha County,Mississippi,1345,,,8,,
Oldham County,Kentucky,917,,,35,,
Oldham County,Texas,2,,,0,,
Oliver County,North Dakota,7,,,0,,
Olmsted County,Minnesota,8251,2687,45.68,20,,
Oneida County,Idaho,0,,,0,,
Oneida County,New York,8535,4790,65.59,64,,
Oneida County,Wisconsin,158,,,0,,
Onondaga County,New York,16950,6762,50.11,97,,
Onslow County,North Carolina,3785,,,514,,
Ontario County,New York,1347,,,95,,
Ontonagon County,Michigan,8,,,4,,
Orange County,California,591103,225620,49.66,9008,,
Orange County,Florida,64008,18231,41.21,767,,
Orange County,Indiana,101,,,0,,
Orange County,New York,9393,2401,37.06,200,,
Orange County,North Carolina,10335,3279,42.25,14,,
Orange County,Texas,887,,,3,,
Orange County,Vermont,95,,,15,,
Orange County,Virginia,322,,,0,,
Orangeburg County,South Carolina,860,,,7,,
Oregon County,Missouri,90,,,0,,
Orleans County,New York,270,,,24,,
Orleans County,Vermont,90,,,0,,
Orleans Parish,Louisiana,11073,4781,54.16,119,,
Orocovis Municipio,Puerto Rico,0,,,0,,
Osage County,Kansas,36,,,0,,
Osage County,Missouri,4,,,0,,
Osage County,Oklahoma,196,,,33,,
Osborne County,Kansas,10,,,0,,
Osceola County,Florida,7899,1930,38.73,401,,
Osceola County,Iowa,4,,,4,,
Osceola County,Michigan,75,,,0,,
Oscoda County,Michigan,7,,,10,,
Oswego County,New York,819,,,10,,
Otero County,Colorado,161,,,156,,
Otero County,New Mexico,876,,,54,,
Otoe County,Nebraska,82,,,0,,
Otsego County,Michigan,119,,,0,,
Otsego County,New York,778,,,1,,
Ottawa County,Kansas,22,,,0,,
Ottawa County,Michigan,7306,2506,50.69,26,,
Ottawa County,Ohio,74,,,3,,
Ottawa County,Oklahoma,216,,,191,,
Otter Tail County,Minnesota,325,,,6,,
Ouachita County,Arkansas,17,,,0,,
Ouachita Parish,Louisiana,1451,,,48,,
Ouray County,Colorado,24,,,4,,
Outagamie County,Wisconsin,5570,1790,39.92,35,,
Overton County,Tennessee,62,,,37,,
Owen County,Indiana,87,,,0,,
Owen County,Kentucky,0,,,6,,
Owsley County,Kentucky,0,,,0,,
Owyhee County,Idaho,21,,,0,,
Oxford County,Maine,314,,,0,,
Ozark County,Missouri,26,,,0,,
Ozaukee County,Wisconsin,1705,,,35,,
Pacific County,Washington,366,,,58,,
Page County,Iowa,110,,,9,,
Page County,Virginia,135,,,0,,
Palm Beach County,Florida,35364,10531,41.65,510,,
Palo Alto County,Iowa,46,,,0,,
Palo Pinto County,Texas,177,,,24,,
Pamlico County,North Carolina,28,,,76,,
Panola County,Mississippi,4,,,0,,
Panola County,Texas,150,,,10,,
Park County,Colorado,186,,,98,,
Park County,Montana,17,,,12,,
Park County,Wyoming,153,,,3,,
Parke County,Indiana,0,,,92,,
Parker County,Texas,602,,,69,,
Parmer County,Texas,22,,,23,,
Pasco County,Florida,11628,3064,37.85,338,,
Pasquotank County,North Carolina,664,,,124,,
Passaic County,New Jersey,25558,7920,37.89,127,,
Patillas Municipio,Puerto Rico,0,,,12,,
Patrick County,Virginia,50,,,0,,
Paulding County,Georgia,1538,,,65,,
Paulding County,Ohio,61,,,4,,
Pawnee County,Kansas,4,,,0,,
Pawnee County,Nebraska,0,,,0,,
Pawnee County,Oklahoma,58,,,14,,
Payette County,Idaho,168,,,0,,
Payne County,Oklahoma,3413,,,56,,
Peach County,Georgia,302,,,23,,
Pearl River County,Mississippi,188,,,0,,
Pecos County,Texas,57,,,9,,
Pembina County,North Dakota,32,,,0,,
Pemiscot County,Missouri,0,,,2,,
Pend Oreille County,Washington,92,,,31,,
Pender County,North Carolina,252,,,37,,
Pendleton County,Kentucky,60,,,0,,
Pendleton County,West Virginia,4,,,0,,
Pennington County,Minnesota,113,,,2,,
Pennington County,South Dakota,1139,,,81,,
Penobscot County,Maine,1606,,,28,,
Peñuelas Municipio,Puerto Rico,35,,,0,,
Peoria County,Illinois,6599,1601,32.16,14,,
Pepin County,Wisconsin,25,,,0,,
Perkins County,Nebraska,0,,,0,,
Perkins County,South Dakota,0,,,0,,
Perquimans County,North Carolina,47,,,13,,
Perry County,Alabama,23,,,0,,
Perry County,Arkansas,9,,,0,,
Perry County,Illinois,116,,,0,,
Perry County,Indiana,36,,,0,,
Perry County,Kentucky,237,,,97,,
Perry County,Mississippi,7,,,0,,
Perry County,Missouri,127,,,0,,
Perry County,Ohio,66,,,9,,
Perry County,Pennsylvania,166,,,0,,
Perry County,Tennessee,24,,,0,,
Pershing County,Nevada,91,,,30,,
Person County,North Carolina,60,,,18,,
Petersburg Borough,Alaska,222,,,36,,
Petersburg city,Virginia,341,,,13,,
Petroleum County,Montana,7,,,0,,
Pettis County,Missouri,222,,,34,,
Phelps County,Missouri,1498,,,0,,
Phelps County,Nebraska,15,,,0,,
Philadelphia County,Pennsylvania,105401,50503,58.31,800,,
Phillips County,Arkansas,10,,,0,,
Phillips County,Colorado,16,,,0,,
Phillips County,Kansas,15,,,5,,
Phillips County,Montana,15,,,0,,
Piatt County,Illinois,43,,,0,,
Pickaway County,Ohio,183,,,1,,
Pickens County,Alabama,13,,,10,,
Pickens County,Georgia,164,,,10,,
Pickens County,South Carolina,2109,,,112,,
Pickett County,Tennessee,0,,,0,,
Pierce County,Georgia,28,,,0,,
Pierce County,Nebraska,19,,,6,,
Pierce County,North Dakota,0,,,0,,
Pierce County,Washington,49486,17812,51.94,11360,,
Pierce County,Wisconsin,495,,,1,,
Pike County,Alabama,690,,,2,,
Pike County,Arkansas,78,,,0,,
Pike County,Georgia,31,,,0,,
Pike County,Illinois,49,,,0,,
Pike County,Indiana,127,,,0,,
Pike County,Kentucky,312,,,0,,
Pike County,Mississippi,187,,,5,,
Pike County,Missouri,105,,,12,,
Pike County,Ohio,15,,,0,,
Pike County,Pennsylvania,771,,,19,,
Pima County,Arizona,26884,8050,44.01,1515,,
Pinal County,Arizona,6704,2007,46.23,1376,,
Pine County,Minnesota,151,,,27,,
Pinellas County,Florida,30284,10432,46.43,748,,
Pipestone County,Minnesota,72,,,0,,
Piscataquis County,Maine,109,,,0,,
Pitkin County,Colorado,246,,,0,,
Pitt County,North Carolina,2898,,,61,,
Pittsburg County,Oklahoma,183,,,27,,
Pittsylvania County,Virginia,228,,,11,,
Piute County,Utah,0,,,0,,
Placer County,California,24756,5375,35.19,849,,
Plaquemines Parish,Louisiana,766,,,0,,
Platte County,Missouri,2547,,,36,,
Platte County,Nebraska,205,,,4,,
Platte County,Wyoming,25,,,0,,
Pleasants County,West Virginia,0,,,0,,
Plumas County,California,148,,,9,,
Plymouth County,Iowa,133,,,26,,
Plymouth County,Massachusetts,6042,1814,45.07,136,,
Pocahontas County,Iowa,41,,,8,,
Pocahontas County,West Virginia,0,,,0,,
Poinsett County,Arkansas,14,,,0,,
Pointe Coupee Parish,Louisiana,34,,,0,,
Polk County,Arkansas,98,,,0,,
Polk County,Florida,10577,2671,36.48,269,,
Polk County,Georgia,271,,,26,,
Polk County,Iowa,18901,7859,53.74,374,,
Polk County,Minnesota,253,,,19,,
Polk County,Missouri,87,,,1,,
Polk County,Nebraska,3,,,0,,
Polk County,North Carolina,85,,,9,,
Polk County,Oregon,1462,,,336,,
Polk County,Tennessee,41,,,0,,
Polk County,Texas,283,,,61,,
Polk County,Wisconsin,159,,,4,,
Ponce Municipio,Puerto Rico,148,,,0,,
Pondera County,Montana,19,,,0,,
Pontotoc County,Mississippi,203,,,0,,
Pontotoc County,Oklahoma,298,,,30,,
Pope County,Arkansas,644,,,0,,
Pope County,Illinois,31,,,0,,
Pope County,Minnesota,45,,,0,,
Poquoson city,Virginia,153,,,0,,
Portage County,Ohio,2818,1137,51.66,25,,
Portage County,Wisconsin,1689,,,10,,
Porter County,Indiana,2224,,,187,,
Portsmouth city,Virginia,1187,,,108,,
Posey County,Indiana,100,,,0,,
Pottawatomie County,Kansas,183,,,0,,
Pottawatomie County,Oklahoma,518,,,30,,
Pottawattamie County,Iowa,569,,,0,,
Potter County,Pennsylvania,56,,,0,,
Potter County,South Dakota,38,,,0,,
Potter County,Texas,5676,3666,71.12,82,,
Powder River County,Montana,0,,,0,,
Powell County,Kentucky,89,,,12,,
Powell County,Montana,74,,,0,,
Power County,Idaho,0,,,3,,
Poweshiek County,Iowa,374,,,8,,
Powhatan County,Virginia,76,,,8,,
Prairie County,Arkansas,1,,,0,,
Prairie County,Montana,0,,,0,,
Pratt County,Kansas,9,,,0,,
Preble County,Ohio,161,,,0,,
Prentiss County,Mississippi,37,,,0,,
Presidio County,Texas,295,,,0,,
Presque Isle County,Michigan,53,,,0,,
Preston County,West Virginia,33,,,29,,
Price County,Wisconsin,76,,,113,,
Prince Edward County,Virginia,249,,,0,,
Prince George County,Virginia,740,,,37,,
Prince George's County,Maryland,37031,11534,40.22,333,,
Prince of Wales-Hyder Census Area,Alaska,74,,,31,,
Prince William County,Virginia,34595,11003,40.78,524,,
Providence County,Rhode Island,24759,8195,42.66,559,,
Prowers County,Colorado,78,,,0,,
Pueblo County,Colorado,1389,,,133,,
Pulaski County,Arkansas,7955,2343,39.35,143,,
Pulaski County,Georgia,0,,,0,,
Pulaski County,Illinois,16,,,0,,
Pulaski County,Indiana,81,,,0,,
Pulaski County,Kentucky,438,,,0,,
Pulaski County,Missouri,1362,,,174,,
Pulaski County,Virginia,243,,,0,,
Pushmataha County,Oklahoma,39,,,5,,
Putnam County,Florida,428,,,7,,
Putnam County,Georgia,117,,,0,,
Putnam County,Illinois,21,,,0,,
Putnam County,Indiana,362,,,10,,
Putnam County,Missouri,14,,,0,,
Putnam County,New York,2138,,,23,,
Putnam County,Ohio,79,,,10,,
Putnam County,Tennessee,960,,,26,,
Putnam County,West Virginia,324,,,12,,
Quay County,New Mexico,55,,,0,,
Quebradillas Municipio,Puerto Rico,27,,,0,,
Queen Anne's County,Maryland,268,,,67,,
Queens County,New York,557427,284222,61.37,1221,,
Quitman County,Georgia,70,,,4,,
Quitman County,Mississippi,6,,,0,,
Rabun County,Georgia,49,,,0,,
Racine County,Wisconsin,2269,,,48,,
Radford city,Virginia,278,,,8,,
Rains County,Texas,9,,,0,,
Raleigh County,West Virginia,763,,,86,,
Ralls County,Missouri,28,,,3,,
Ramsey County,Minnesota,68218,31469,53.89,168,,
Ramsey County,North Dakota,66,,,0,,
Randall County,Texas,1912,,,112,,
Randolph County,Alabama,25,,,36,,
Randolph County,Arkansas,0,,,0,,
Randolph County,Georgia,104,,,0,,
Randolph County,Illinois,119,,,0,,
Randolph County,Indiana,60,,,0,,
Randolph County,Missouri,151,,,14,,
Randolph County,North Carolina,1467,,,23,,
Randolph County,West Virginia,110,,,0,,
Rankin County,Mississippi,1646,,,42,,
Ransom County,North Dakota,35,,,0,,
Rapides Parish,Louisiana,1866,,,7,,
Rappahannock County,Virginia,88,,,0,,
Ravalli County,Montana,250,,,0,,
Rawlins County,Kansas,7,,,0,,
Ray County,Missouri,37,,,1,,
Reagan County,Texas,0,,,0,,
Real County,Texas,1,,,0,,
Red Lake County,Minnesota,18,,,0,,
Red River County,Texas,1,,,0,,
Red River Parish,Louisiana,4,,,20,,
Red Willow County,Nebraska,31,,,0,,
Redwood County,Minnesota,411,,,0,,
Reeves County,Texas,129,,,0,,
Refugio County,Texas,5,,,0,,
Reno County,Kansas,345,,,35,,
Rensselaer County,New York,3725,1263,45.22,12,,
Renville County,Minnesota,65,,,0,,
Renville County,North Dakota,13,,,0,,
Republic County,Kansas,24,,,0,,
Reynolds County,Missouri,7,,,14,,
Rhea County,Tennessee,130,,,0,,
Rice County,Kansas,61,,,16,,
Rice County,Minnesota,1435,,,27,,
Rich County,Utah,0,,,0,,
Richardson County,Nebraska,14,,,0,,
Richland County,Illinois,117,,,0,,
Richland County,Montana,54,,,0,,
Richland County,North Dakota,51,,,5,,
Richland County,Ohio,919,,,22,,
Richland County,South Carolina,10554,3783,47.99,413,,
Richland County,Wisconsin,89,,,5,,
Richland Parish,Louisiana,98,,,0,,
Richmond city,Virginia,4507,,,50,,
Richmond County,Georgia,3458,,,426,,
Richmond County,New York,38463,14214,45.65,153,,
Richmond County,North Carolina,468,,,0,,
Richmond County,Virginia,181,,,0,,
Riley County,Kansas,3513,1681,59.74,164,,
Rincón Municipio,Puerto Rico,27,,,0,,
Ringgold County,Iowa,43,,,0,,
Rio Arriba County,New Mexico,157,,,4,,
Rio Blanco County,Colorado,6,,,8,,
Rio Grande County,Colorado,26,,,23,,
Río Grande Municipio,Puerto Rico,166,,,0,,
Ripley County,Indiana,276,,,0,,
Ripley County,Missouri,6,,,53,,
Ritchie County,West Virginia,0,,,0,,
Riverside County,California,141787,44201,44.16,6475,,
Roane County,Tennessee,377,,,0,,
Roane County,West Virginia,13,,,1,,
Roanoke city,Virginia,2966,,,171,,
Roanoke County,Virginia,2509,,,0,,
Roberts County,South Dakota,13,,,0,,
Roberts County,Texas,4,,,0,,
Robertson County,Kentucky,0,,,0,,
Robertson County,Tennessee,353,,,67,,
Robertson County,Texas,48,,,18,,
Robeson County,North Carolina,806,,,56,,
Rock County,Minnesota,81,,,0,,
Rock County,Nebraska,0,,,0,,
Rock County,Wisconsin,1842,,,26,,
Rock Island County,Illinois,3145,,,51,,
Rockbridge County,Virginia,142,,,31,,
Rockcastle County,Kentucky,9,,,12,,
Rockdale County,Georgia,1694,,,125,,
Rockingham County,New Hampshire,5506,1257,32.75,0,,
Rockingham County,North Carolina,504,,,30,,
Rockingham County,Virginia,568,,,73,,
Rockland County,New York,19025,5147,36.83,33,,
Rockwall County,Texas,2101,,,0,,
Roger Mills County,Oklahoma,1,,,0,,
Rogers County,Oklahoma,957,,,54,,
Rolette County,North Dakota,49,,,0,,
Rooks County,Kansas,23,,,0,,
Roosevelt County,Montana,46,,,0,,
Roosevelt County,New Mexico,94,,,6,,
Roscommon County,Michigan,44,,,0,,
Roseau County,Minnesota,394,,,3,,
Rosebud County,Montana,85,,,0,,
Ross County,Ohio,423,,,18,,
Routt County,Colorado,260,,,3,,
Rowan County,Kentucky,179,,,0,,
Rowan County,North Carolina,1229,,,18,,
Runnels County,Texas,90,,,0,,
Rush County,Indiana,2,,,0,,
Rush County,Kansas,19,,,0,,
Rusk County,Texas,215,,,0,,
Rusk County,Wisconsin,15,,,0,,
Russell County,Alabama,402,,,133,,
Russell County,Kansas,0,,,75,,
Russell County,Kentucky,74,,,82,,
Russell County,Virginia,29,,,0,,
Rutherford County,North Carolina,306,,,12,,
Rutherford County,Tennessee,8731,2709,42.26,38,,
Rutland County,Vermont,599,,,0,,
Sabana Grande Municipio,Puerto Rico,0,,,0,,
Sabine County,Texas,10,,,0,,
Sabine Parish,Louisiana,103,,,10,,
Sac County,Iowa,0,,,0,,
Sacramento County,California,216365,76890,48.68,14952,3336,32.3
Sagadahoc County,Maine,221,,,0,,
Saginaw County,Michigan,2257,,,12,,
Saguache County,Colorado,70,,,0,,
Salem city,Virginia,468,,,0,,
Salem County,New Jersey,575,,,0,,
Salinas Municipio,Puerto Rico,129,,,0,,
Saline County,Arkansas,1267,,,105,,
Saline County,Illinois,158,,,1,,
Saline County,Kansas,1268,,,23,,
Saline County,Missouri,194,,,148,,
Saline County,Nebraska,411,,,19,,
Salt Lake County,Utah,40506,14106,47.04,15082,,
Saluda County,South Carolina,0,,,0,,
Sampson County,North Carolina,313,,,16,,
San Augustine County,Texas,0,,,0,,
San Benito County,California,1583,,,99,,
San Bernardino County,California,138447,46591,45.18,6086,,
San Diego County,California,365098,112254,44.56,13349,,
San Francisco County,California,286577,121735,56.64,3099,,
San Germán Municipio,Puerto Rico,0,,,0,,
San Jacinto County,Texas,2,,,0,,
San Joaquin County,California,102989,37968,48.45,3860,,
San Juan County,Colorado,0,,,0,,
San Juan County,New Mexico,734,,,75,,
San Juan County,Utah,60,,,62,,
San Juan County,Washington,209,,,25,,
San Juan Municipio,Puerto Rico,1342,,,32,,
San Lorenzo Municipio,Puerto Rico,22,,,0,,
San Luis Obispo County,California,9997,2203,40.15,185,,
San Mateo County,California,200394,55483,39.38,10030,2001,29.29
San Miguel County,Colorado,98,,,0,,
San Miguel County,New Mexico,325,,,56,,
San Patricio County,Texas,650,,,25,,
San Saba County,Texas,1,,,0,,
San Sebastián Municipio,Puerto Rico,97,,,0,,
Sanborn County,South Dakota,14,,,0,,
Sanders County,Montana,60,,,1,,
Sandoval County,New Mexico,1997,,,154,,
Sandusky County,Ohio,169,,,17,,
Sangamon County,Illinois,3630,910,33.11,76,,
Sanilac County,Michigan,162,,,6,,
Sanpete County,Utah,119,,,144,,
Santa Barbara County,California,23159,6787,44.12,714,,
Santa Clara County,California,633094,214171,42.66,7171,,
Santa Cruz County,Arizona,361,,,0,,
Santa Cruz County,California,12425,2410,32.13,253,,
Santa Fe County,New Mexico,1772,,,142,,
Santa Isabel Municipio,Puerto Rico,0,,,0,,
Santa Rosa County,Florida,3113,,,334,,
Sarasota County,Florida,6356,2414,55.75,54,,
Saratoga County,New York,5967,1594,34.91,63,,
Sargent County,North Dakota,16,,,0,,
Sarpy County,Nebraska,4051,1373,47.86,138,,
Sauk County,Wisconsin,380,,,11,,
Saunders County,Nebraska,61,,,0,,
Sawyer County,Wisconsin,78,,,0,,
Schenectady County,New York,6786,1534,40.1,38,,
Schleicher County,Texas,4,,,0,,
Schley County,Georgia,0,,,0,,
Schoharie County,New York,260,,,10,,
Schoolcraft County,Michigan,29,,,0,,
Schuyler County,Illinois,0,,,0,,
Schuyler County,Missouri,0,,,0,,
Schuyler County,New York,91,,,0,,
Schuylkill County,Pennsylvania,699,,,31,,
Scioto County,Ohio,290,,,0,,
Scotland County,Missouri,0,,,0,,
Scotland County,North Carolina,238,,,8,,
Scott County,Arkansas,351,,,0,,
Scott County,Illinois,4,,,7,,
Scott County,Indiana,95,,,0,,
Scott County,Iowa,4094,,,18,,
Scott County,Kansas,44,,,0,,
Scott County,Kentucky,503,,,0,,
Scott County,Minnesota,7855,2723,46.11,130,,
Scott County,Mississippi,73,,,0,,
Scott County,Missouri,147,,,0,,
Scott County,Tennessee,0,,,0,,
Scott County,Virginia,60,,,0,,
Scotts Bluff County,Nebraska,228,,,32,,
Screven County,Georgia,69,,,0,,
Scurry County,Texas,38,,,0,,
Searcy County,Arkansas,106,,,0,,
Sebastian County,Arkansas,5289,2209,54.52,24,,
Sedgwick County,Colorado,36,,,0,,
Sedgwick County,Kansas,21050,8109,51.01,194,,
Seminole County,Florida,18141,4335,33.33,348,,
Seminole County,Georgia,78,,,0,,
Seminole County,Oklahoma,44,,,2,,
Seneca County,New York,242,,,3,,
Seneca County,Ohio,303,,,0,,
Sequatchie County,Tennessee,0,,,0,,
Sequoyah County,Oklahoma,232,,,19,,
Sevier County,Arkansas,56,,,31,,
Sevier County,Tennessee,717,,,12,,
Sevier County,Utah,45,,,39,,
Seward County,Kansas,629,,,0,,
Seward County,Nebraska,103,,,0,,
Shackelford County,Texas,6,,,0,,
Shannon County,Missouri,0,,,0,,
Sharkey County,Mississippi,19,,,0,,
Sharp County,Arkansas,72,,,0,,
Shasta County,California,4972,,,153,,
Shawano County,Wisconsin,149,,,12,,
Shawnee County,Kansas,2132,,,121,,
Sheboygan County,Wisconsin,5545,1924,38.53,7,,
Shelby County,Alabama,3694,,,56,,
Shelby County,Illinois,81,,,0,,
Shelby County,Indiana,272,,,0,,
Shelby County,Iowa,37,,,0,,
Shelby County,Kentucky,345,,,8,,
Shelby County,Missouri,4,,,0,,
Shelby County,Ohio,452,,,0,,
Shelby County,Tennessee,21988,7041,40.1,262,,
Shelby County,Texas,140,,,21,,
Shenandoah County,Virginia,341,,,0,,
Sherburne County,Minnesota,1023,,,11,,
Sheridan County,Kansas,0,,,0,,
Sheridan County,Montana,29,,,0,,
Sheridan County,Nebraska,26,,,2,,
Sheridan County,North Dakota,0,,,0,,
Sheridan County,Wyoming,212,,,0,,
Sherman County,Kansas,111,,,0,,
Sherman County,Nebraska,17,,,0,,
Sherman County,Oregon,2,,,0,,
Sherman County,Texas,0,,,0,,
Shiawassee County,Michigan,301,,,20,,
Shoshone County,Idaho,59,,,0,,
Sibley County,Minnesota,95,,,4,,
Sierra County,California,0,,,0,,
Sierra County,New Mexico,58,,,0,,
Silver Bow County,Montana,287,,,0,,
Simpson County,Kentucky,113,,,0,,
Simpson County,Mississippi,43,,,0,,
Sioux County,Iowa,222,,,4,,
Sioux County,Nebraska,3,,,0,,
Sioux County,North Dakota,2,,,2,,
Siskiyou County,California,673,,,142,,
Sitka City and Borough,Alaska,580,,,37,,
Skagit County,Washington,2029,,,400,,
Skagway Municipality,Alaska,42,,,0,,
Skamania County,Washington,132,,,5,,
Slope County,North Dakota,0,,,0,,
Smith County,Kansas,9,,,0,,
Smith County,Mississippi,7,,,0,,
Smith County,Tennessee,13,,,0,,
Smith County,Texas,3310,,,231,,
Smyth County,Virginia,156,,,17,,
Snohomish County,Washington,73066,24234,44.02,3726,,
Snyder County,Pennsylvania,297,,,0,,
Socorro County,New Mexico,339,,,0,,
Solano County,California,63757,16628,38.84,3586,,
Somerset County,Maine,160,,,21,,
Somerset County,Maryland,240,157,,13,,
Somerset County,New Jersey,53813,10722,26.76,21,,
Somerset County,Pennsylvania,292,,,30,,
Somervell County,Texas,0,,,49,,
Sonoma County,California,19010,5947,47.6,1650,,
Southampton County,Virginia,22,,,0,,
Southeast Fairbanks Census Area,Alaska,132,,,3,,
Spalding County,Georgia,566,,,19,,
Spartanburg County,South Carolina,6347,2290,53.38,90,,
Spencer County,Indiana,39,,,16,,
Spencer County,Kentucky,172,,,0,,
Spink County,South Dakota,0,,,9,,
Spokane County,Washington,10536,3555,56.04,2224,,
Spotsylvania County,Virginia,3217,,,119,,
St. Bernard Parish,Louisiana,1040,,,37,,
St. Charles County,Missouri,8583,,,116,,
St. Charles Parish,Louisiana,542,,,0,,
St. Clair County,Alabama,721,,,11,,
St. Clair County,Illinois,3421,,,70,,
St. Clair County,Michigan,1043,,,25,,
St. Clair County,Missouri,18,,,0,,
St. Croix County,Wisconsin,856,,,1,,
St. Francis County,Arkansas,106,,,0,,
